	TCGA-BH-A0B5	TCGA-BH-A0C3
CFI	4.656092759	7.969299298
ANKFY1	4.692944922	8.644408639
CFB	0.352333441	2.006663681
CFP	0.609469233	0.40748665
RNU5B-1	0.134315701	0.328053995
AAAS	6.318096304	11.75286338
SIDT1	0.44267522	2.351243572
SIDT2	13.27817653	12.05968629
SAGE1	0	0
LVCAT8	0	0.030011249
UFD1	4.467657544	5.220699946
LVCAT5	0	0
LVCAT1	0.005519172	0
AAGAB	8.14192132	12.02288365
C4orf19	7.250332429	2.967408268
SLC7A6OS	1.155002112	1.174200142
C4orf17	0	0
INGX	0.137439322	0
RFPL4AL1	0	0
ETV3L	0.00788493	2.705781383
TEN1-CDK3	0.131903669	0.302637806
ZNF197-AS1	0.050018046	0.305411424
MKRN2OS	0.110742524	1.529244594
MSL3P1	0.143631715	0.1252884
MDC1-AS1	0	0
TBC1D8-AS1	0.100601267	0.668022784
ZNF117	5.727419477	4.239325391
ZNF114	0.222075587	0.338999755
ZNF112	0.785509493	3.614561665
SEZ6L	0.017435301	0.106460382
MIR6780B	0	0
MIR6780A	0	0
PRKAR2A	16.07308523	12.72675698
PRKAR2B	255.8895135	11.2805598
MAGT1	13.13232949	27.10446612
TMBIM6	127.7354038	184.1104144
S1PR4	0.617981373	0.78898563
ITGA2B	0.126306604	0.174812415
PHACTR4	4.129462639	10.44965294
NLGN2	2.666953192	9.712407957
NLGN3	0.225580638	1.358402314
PHACTR3	0.127814777	0.12799219
NUP107	3.588037304	6.677791421
KRTAP2-3	0	0
KRTAP2-2	0	0
KRTAP2-1	0	0
KRTAP2-4	0	0
MIR4708	0	0
MIR4709	36.36989696	55.03956036
MIR4704	0	0
MIR4705	0	0
MIR4706	0	0
MIR4707	6.786989812	14.60570292
MIR4700	7.521886076	17.96498192
MIR4701	0.741934347	3.322197602
MIR4703	0	0
SBF1P1	0.002766937	0
LOC101928035	0.026422761	0.107558687
EPN2-AS1	0.026185918	0.047967559
NR1D1	28.11481516	19.02713172
NR1D2	18.7797351	19.29194232
PLPBP	17.80772292	15.50256094
OGFR	4.208292008	5.952554394
CHMP1B-AS1	0	0
PTCH2	0.571904724	3.710087443
PTCH1	0.778514558	2.245502014
AOAH-IT1	0	0.033206164
TIMM44	4.554972956	4.737319825
RAD9B	0.107858297	0.461009799
RAD9A	1.427631885	5.659305189
ERGIC2	7.282188764	7.282956357
ERGIC3	18.00116357	43.57061251
ERGIC1	13.63676274	14.99670103
MIR3165	0	0
MIR3164	0	0.458485102
MIR3167	0	0
MIR3166	0	0
MIR3161	0	0
MIR3163	0	0
MIR3162	0	0
B3GAT3	5.903695048	10.12481638
B3GAT2	0.078318431	0.156506491
B3GAT1	0.016364766	0.537922411
MIR3169	0	0
MIR3168	0	0.232038192
CALM2	71.69350833	72.36254193
TTC30A	1.548935404	3.066632275
TTC30B	1.411836232	3.604592292
CALM1	97.89604638	28.85308332
GSDMA	0.090828734	0.298632112
GSDMB	1.918223822	3.264095585
GSDMC	0.021241474	0.80414599
GSDMD	3.231242998	7.516386475
UPK1A	0.193902315	0.111432689
UPK1B	0.027503303	0.016793585
DLGAP3	0.050929866	0.086117267
DLGAP1	0.074646955	0.378782318
DLGAP4	7.736242036	10.43905213
DLGAP5	0.033990993	0.565573318
MIR7973-1	0	0
CYP27B1	0.018117001	1.017730301
OIP5	0.151268168	0.477217705
FAM169A	0.029525959	0.52144326
INO80B-WBP1	0	0.009327025
MIR506	0	0
PTPN18	7.898247053	19.94652378
MIR505	0	0
PTPN13	6.60240312	7.501851428
PTPN12	17.79117634	14.91436249
PTPN11	47.76186448	23.98789333
PTPN14	4.802280423	12.62997387
LYAR	4.071520696	5.021390518
LOC145694	0.027515446	0.529231478
MIR548AG1	0	0
C2orf81	0.213290642	2.33789131
C2orf80	0	0
C2orf83	0	0
SNORA81	0	0
SNORA84	0	0
C2orf88	2.678609394	4.23248186
CDK1	0	0
MZB1	0.123383714	10.44692494
CDK2	2.444725116	8.164955599
HLA-DQB1	2.277998666	5.990597752
MSMB	0	10.20968043
HLA-DQB2	1.644108951	6.689519189
LOC100129027	0.004495274	0
ATP2B1-AS1	0.304577123	1.063465787
CDK7	5.371739622	9.375916085
FOXS1	0.649684739	0.706845682
LOC643733	1.273363987	1.868696707
CAMKK2	12.57060081	12.4385996
CAMKK1	0.715650843	1.676150882
MYDGF	21.24461352	20.13837064
CHMP3	18.90584645	19.78736934
RPL36AL	173.9557569	242.8892431
CHMP7	10.53300408	9.432564873
CHMP6	6.495603677	7.689907815
CHMP5	24.51829148	23.79585636
OR52N4	0.180296485	0.275223699
OR52N5	0	0
OR52N2	0.030107481	0.036767404
OR52N1	0.064717015	0
LY6G6C	0.028251353	0.759015227
LY6G6D	0.025375605	0.030988814
HOXA11	0.69562375	0.1402086
HOXA10	7.498200259	1.380711743
GALNTL5	0	0
GALNTL6	0	0.088527014
LINC02018	0.125515209	0.521151298
LINC02010	0	0
LINC02011	0	0
LINC02012	0.018064488	0.176483541
LINC02015	0.010369798	0.056986418
LINC02016	0	0
TDH	0.057584134	0.090414037
KRTAP11-1	0	0
TDG	2.138641265	4.559836788
SCAMP1-AS1	1.956272203	5.351380796
HN1	3.536901433	6.459415836
GOLGA8IP	0.01199432	0.029295045
LOXHD1	0.157188086	0.059064267
LRRC26	0	0.881322892
LRRC25	2.129028995	1.276354177
LRRC24	0	0
KIAA1522	2.371702283	45.03353657
MPDU1	13.65023685	10.99345388
LRRC20	2.093175879	2.514205819
LRRC29	0.582816257	1.396362356
LRRC28	1.820173884	2.112075188
GCNT4	0.286140326	1.555332697
GCNT7	0.022646252	0.193590003
GCNT1	0.544827543	1.495556694
GCNT3	0	0.008815659
GCNT2	0.289167518	4.10516883
LPCAT4	3.077813914	7.679840413
LPCAT2	2.021145253	8.499416414
LPCAT3	4.590100491	5.375919756
LPCAT1	4.606528003	5.51710641
TAGLN	74.86812706	199.2432631
CCDC178	0.933096425	0.369912952
CCDC179	0	0.020749326
ALPP	0	0
MIR513B	0	0
MIR513C	0	0
CCDC170	4.545665665	2.998555174
CCDC171	0.119344431	0.515129689
CCDC172	0	0
CCDC173	0.034840387	0.195717366
CCDC174	5.411155028	8.298954245
CCDC175	0	0.035181137
CCDC177	0.011314903	0.027635631
PDK1	2.591012408	1.787269377
PDK3	0.722663325	5.930534562
PDK2	14.73635116	8.098941489
EBP	6.390059702	11.57108675
PDK4	307.6474522	37.53637514
LNPEP	11.4369476	6.91113883
ALPI	0	0
SEC61A1	49.16006118	70.67220353
SEC61A2	0.863379678	2.293362148
ALPL	13.40959357	30.41683478
PECR	27.91487175	3.402400361
MIR193A	1.062315087	0.216217406
MIR193B	0	0
LINC01091	0.054078516	0.249488036
LINC01090	0.024478588	0.029893373
LINC01095	0.013806488	0
LINC01097	0	0
LINC01099	0.009774543	0.03581016
LINC01098	0	0
CTAGE11P	0.006621599	0.048517973
D21S2088E	0	0
DDIT3	8.085677867	9.633800499
DDIT4	26.58850434	27.09840771
DOCK9-AS1	0	0
RIIAD1	0	0
OR5R1	0	0
GOLGA8R	0.038661591	0.030045099
GOLGA8M	0.339632071	0.077767568
GOLGA8O	0.021579808	0.008784456
GOLGA8N	0.135269798	0.272817332
GOLGA8H	0.385618325	0.320625706
GOLGA8K	0.03857783	0.088333945
GOLGA8J	0.005732385	0
GOLGA8G	0	0
GOLGA8F	0.002751302	0.003359903
GOLGA8A	1.731180142	15.9630588
GOLGA8B	0.727231084	7.546353936
CT45A9	0	0
CT45A8	0	0
CT45A1	0	0
CT45A3	0	0
CT45A2	0	0
CT45A5	0	0
CT45A7	0	0
CT45A6	0	0
FTCDNL1	1.714558767	0.541022578
VMO1	1.241792979	0.663461629
OGFR-AS1	0.046648567	0.199386111
LRRC53	0	0.004930586
ATP5C1	70.03911268	54.17742622
MIR639	24.53764917	24.17693463
MIR638	0	0
MIR635	6.200451325	11.0668011
MIR634	0	0
MIR637	6.822283873	5.806250677
MIR636	36.02599073	44.58794208
MIR631	6.758825077	9.456864696
MIR630	3.775985358	5.221650353
MIR633	0	0
MIR632	5.895130863	11.49630979
LINC00320	0	0.016367425
NPC1	3.4039231	9.330866218
GATA3-AS1	0.007037318	0.867994717
LINC00324	0.883051542	2.833050352
LINC00327	0.023852758	0.221381202
C3orf58	2.288678832	6.980429406
RAB3GAP2	5.535458546	7.177481436
BHLHA15	0	1.072958556
RAB3GAP1	12.11852215	15.22113132
C3orf52	0.082806823	0.666787044
DAG1	14.70290319	40.07433304
ETHE1	7.450334489	22.91796663
RER1	13.12758373	15.2892415
KDM1A	7.794610719	20.20341806
KDM1B	3.116124256	5.229873202
CKS1B	8.696625649	9.122931847
OR1S1	0	0
OR1S2	0	0
MIR2355	0	0
RBM14-RBM4	0.133012677	0.413472789
FCER1G	14.27146119	18.82975483
BTG4	0	0.010564759
BTG3	10.89157047	11.30406351
BTG2	184.1135512	41.71200004
SOSTDC1	0.03780175	25.80549931
SRD5A3	5.58716849	4.890231139
SRD5A2	0.003352113	0.04093617
SRD5A1	0.664423124	1.679517395
ARMT1	13.04372693	12.31802603
EIF1AX-AS1	0.041218575	0.100672655
LOC101929721	0	0
GGA3	3.86699757	9.840236495
GGA2	6.074379016	22.58937324
LOC101929726	14.36078616	0.3611318
FHOD1	6.892703181	4.623941387
FHOD3	1.782039672	4.80157373
GJC2	0.659901481	0.780426268
GJC3	1.479879799	6.649266461
GJC1	3.905950207	1.017270437
PSMB9	4.752292363	5.078856774
PSMB8	11.1534258	24.87944492
PSMB7	47.11677526	61.89407761
PSMB6	45.45065213	32.94269283
PSMB5	48.26902955	30.16312439
PSMB4	62.33692498	72.78450989
PSMB3	39.48676538	47.38223811
PSMB2	15.58062128	17.49883227
PSMB1	61.46610345	44.86051135
LMBR1L	2.911543252	7.816007143
SNORD115-14	0	0
TDGF1	0.01864826	0.129048968
MEIS1-AS2	0.151415173	0.110945374
SNORD115-16	0	0
SNORD115-17	0	0
PNMA5	0	0
LTN1	3.194764615	6.872575968
TRIML2	0	0
C9orf142	4.091765208	14.74011155
TRIML1	0.007373697	0.009004795
NACC2	10.94445749	3.733138018
VPS13D	5.208843771	8.281548866
NACC1	7.156499045	7.314856182
VPS13A	1.447278942	4.206582646
SH3KBP1	29.8296116	8.203393122
VPS13C	4.234791862	6.636253186
VPS13B	2.086923369	4.679381341
BEX5	0.703546398	4.403268488
BEX4	13.9380859	36.06271878
BEX3	48.08352844	52.94123224
BEX2	0.238478897	14.09237392
BEX1	0.36066253	1.189195732
TMEM160	1.786013902	2.697662717
TMEM163	0.494622898	0.380318917
TMEM165	7.873245103	7.724286262
TMEM164	11.68724106	9.419629694
TMEM169	0.846026018	0.283204276
TMEM168	4.106112449	7.191994003
EVI2B	2.060371733	7.713702048
FOXN1	0	0.659174758
FOXN2	8.192547076	3.103494938
FOXN3	17.632524	8.815979095
NICN1	7.042930206	14.73969337
COL14A1	7.821843063	23.96930101
TAP1	7.722243268	9.143663124
IFFO2	2.862825855	9.076938079
SNAP91	0.004685197	0.088684571
MACROD2	0.439509768	0.900702551
MACROD1	3.341368278	5.656222498
KRR1	2.535166677	5.830809553
MTCL1	0.123021092	0.482251029
ATP1A3	0.021293313	0.096584425
C8orf49	0	0
C8orf48	0	0
C8orf46	1.024331503	1.053405216
C8orf44	0.198513425	0.343982237
TP53I3	0.908092098	3.106625498
MB	6.381854823	7.982836405
SLC18A3	0.186852469	2.703116499
SLC18A2	0	0
SLC18A1	0.502357001	0.327497297
RALBP1	0	0.009732548
B3GALT5-AS1	20.63438777	21.59516396
ZNF831	0	2.056987213
ZNF830	0.018224887	0.279215672
ZNF835	3.822316262	7.683708134
ZNF837	0.52488704	0.958752678
ZNF836	0.210143254	1.063173063
ZNF839	0.870077107	3.743556783
LRIF1	1.329509186	2.603891908
OXCT2P1	2.409596221	4.844798521
FAM91A1	0.030450726	0.012395526
CLYBL-AS2	10.13335614	10.19861309
TUNAR	0	0
SUGCT	0.143352467	0.437656854
TSPY8	1.428814412	1.47182223
MIR4773-1	0	0
TSPY4	0	0
TSPY3	0	0
TSPY2	0	0
TSPY1	0	0
MED4-AS1	0	0
RAB33A	0.114986135	0.351054091
SLC17A9	0.099081852	0.514246803
RAB33B	0.129814993	1.126946581
SLC17A4	3.75880939	3.549612083
SLC17A5	0	0
SLC17A6	7.474720918	12.32223236
SLC17A7	0	0
SLC17A1	1.347401142	0.829055132
SLC17A2	0	0
SLC17A3	0	0
C16orf58	0.004335176	0
C16orf59	6.991964755	12.44888095
TMEFF1	0.191072791	0.540013199
C16orf52	0	0.007287297
WASIR2	2.606101958	3.157720651
ITCH	0.910125266	1.810705765
CHMP4A	10.95738862	12.56201721
CHMP4B	1.149337168	1.663789802
CHMP4C	55.44088629	72.21293551
COBLL1	0.709728193	23.58507806
TMEM255B	10.73083772	3.522312194
TMEM255A	0.504600881	0.984387081
ST5	1.086362655	4.788840047
ZNF304	1.272266334	11.64673311
STH	2.670577307	6.840520126
ZNF302	0.035012632	0.342060795
ZNF300	5.310168023	11.13949325
STS	0.466253006	3.066944152
HOXB13	20.24692297	4.00617265
TP53TG1	0	0
PPP3CA	7.858847096	11.6989891
PPP3CB	10.92705762	14.79320254
PPP3CC	25.72301236	14.57103275
LIF	7.180307012	4.646846933
GPATCH8	0.745859925	1.711435128
GACAT2	5.202891219	10.66019136
NPY6R	0.019047214	0.093042209
GACAT1	0.015643194	0.133724821
RPL18	0	0
ADRA2A	54.71170884	284.841903
ADRA2B	29.54701531	5.700518502
ADRA2C	0.508415408	0.417682512
TEX26	2.345316099	0.506458761
TEX22	0.168946496	0
TEX28	0.027459678	0.24144404
TEX29	0	0
SYT8	0.13402685	0.204592814
SYT9	0	5.687106122
LINC01251	1.2794524	3.738254582
LINC01250	0	0.078300954
LINC01257	0	0
LINC01256	0.012162858	0.007426671
MTCH1	0	0
LINC01254	46.697006	59.74738482
SYT1	0.009662401	0.011799772
SYT2	0.175144033	0.594780988
SYT3	0.076159456	0.12482425
SYT4	0.024395545	0.079445226
SYT5	0.017557608	0.004288288
SYT6	0.005827799	0.007116937
SYT7	0.030526296	0.160299111
TIAL1	1.303401545	14.8368798
FUBP3	7.746884026	13.86613542
FUBP1	9.57131683	10.78676325
SCHIP1	9.486964951	24.47400917
MARCO	0.097824699	0.273771679
SAP30	4.661446097	0.704708582
NBL1	3.009892747	3.445064001
C3orf67-AS1	9.424814487	7.089185296
HSFX2	0	0
HSFX1	0	0
DRC7	0.015874296	0.06785019
DRC3	0	0
DRC1	0.252876968	2.377093925
C1orf53	0	0.06866747
C1orf52	1.887014688	0.716242274
C1orf50	3.890599582	5.418838098
C1orf56	3.767475644	3.778309292
C1orf54	2.259223506	2.620209902
1-Mar	4.751455194	6.041924136
2-Mar	42.43523067	2.657386186
APCDD1L-AS1	20.68616949	9.883558217
SMPD4	0.050463551	6.925259683
SMPD1	4.755522508	9.509695935
SMPD3	11.55798815	11.27789989
SMPD2	0.09784091	1.237321153
BRIP1	1.748371603	5.422827014
PDE11A	0.066292219	0.573837911
TTC28	3.440751699	0.170510382
TTC29	4.551586793	5.812717266
TTC24	0.023380284	0.074235508
TTC25	0.005507466	0.013451489
TTC26	0.305380177	0.654533331
TTC27	0.935024282	2.283712549
PATL2	4.886982938	8.990842461
TTC22	0.088173711	0.422736525
PATL1	0	3.422055564
ENO1	10.52183611	15.61132126
NPY2R	150.1927803	203.5585815
ENO3	0.008589097	1.767404462
ENO4	0.762332355	0.842300798
PCSK6-AS1	0.064016459	0.288654337
LOC101929331	0	0
CBX3P2	1.416420116	4.667032309
CFD	0.588770853	1.051884819
OBSCN	297.6383168	42.75654967
MCL1	0.105675495	2.382442737
SORBS1	3.484806704	5.008994852
SORBS3	88.67159344	79.49954395
SORBS2	168.7600614	17.14710549
MCM8-AS1	16.40347843	21.13050826
IL18RAP	1.805787487	11.1330898
EOMES	0.015850073	0.019356187
BCDIN3D-AS1	0.236388388	0.750564535
MIR873	0.085233158	0.697383931
KCTD21-AS1	0.299794442	0.366110454
MIR877	0	0
MIR876	0.47559894	0.529693044
MIR875	0	0
MIR874	0	0
PDSS2	0	0
LOC100507277	0	0
LOC105374836	5.139303249	4.705895288
MIR3672	0	0
FBXO18	1.264781935	0.171376514
FKBP15	0	0
UBE2J1	10.27816898	11.78222926
FKBP10	4.434701246	5.854369732
FKBP11	13.43420003	24.3449711
FBXO10	6.953485789	16.72499573
FBXO11	1.087531766	6.302713392
FBXO16	1.044423838	1.091434603
FBXO17	7.03925157	7.767932769
FBXO15	0.007845227	0.833514834
AGAP1-IT1	4.262682071	3.682670655
SFTA3	0.042734844	0.214891775
SFTA2	0.070394373	0.114621275
MIRLET7F1	0	0.012243972
MIRLET7F2	0.045095865	0.137678232
SNORD43	0.991494081	0.518921774
SNORD90	0	0
CNGB3	0	0
SNORD46	0	0
PLA2G6	0	0
PLA2G7	0.599254665	0.914765948
PLA2G5	2.56603011	4.17256721
PLA2G3	0.307613451	2.883183336
GDPGP1	0.657410181	0.583878227
CCDC77	0	0.105823869
KRTAP1-3	0.674135569	1.21842138
KRTAP1-4	1.78483044	2.458680275
CCDC73	0	0.019575238
CCDC70	0	0
CCDC71	0.009892458	0.014496862
DEGS2	0	0
CCDC78	7.567230436	12.51025898
HIST3H2BB	0.045353353	3.923866617
SNORD4B	0.011271248	0.408346931
SNORD4A	0.032953937	0.120730531
GHITM	0	0
LOC100128714	0	0
LOC100506585	103.4468895	65.79110763
CSHL1	0.066159751	0
MIR8071-2	0.086893212	0.204066192
FKBP1B	0	0
LINC02192	0	1.463625517
OSGIN1	0.50170158	1.588430794
LINC02229	0.035276878	0.014360099
LINC02227	3.764566297	3.964902303
LINC02226	0	0
LINC02225	0.07066984	0
MAP10	0.02945297	0
ELFN1-AS1	0	0.00467612
LGALS9C	0.660270924	1.471951032
LGALS9B	0.031507829	0.076955032
UNC50	0.003277371	0.092053856
NKAIN4	0.011670877	0.028505066
NKAIN3	11.91253779	14.76949103
NKAIN2	0	0.028526434
NKAIN1	0.00532853	0.032536135
EMP3	0.261699822	0.356642927
MAP1A	0.046945293	1.840924361
MAP1B	16.76762722	13.25164963
IGSF9B	3.320171907	3.524736321
UNC5B	14.48146581	6.669288371
UNC5C	0.016249562	0.896289361
VGF	0.213433168	0.591736048
UNC5A	1.6489358	3.315354628
UNC5D	0.344129773	1.613344065
MAP1S	0	0
CCP110	0.021460911	0.380018471
LOC101927839	0.002881032	0.028146645
ANKRD19P	2.717334544	6.71612447
LOC101927837	1.820453186	3.727756924
LOC105375014	0	0.026798777
RPL18A	0.227338553	0.387386462
CLEC18A	0.209008334	0.626503118
CEND1	0	0.142882091
CLEC18B	34.73502271	163.9990939
BORCS7	0.00253756	0.009296644
BORCS6	0.075588217	0.034615764
BORCS5	0.004957245	0.036322873
MFSD11	10.28159905	11.52307829
BORCS8	1.670000572	2.379315112
SDR42E1	1.777066845	2.204549197
LINC01759	3.446328405	4.127792808
LINC01752	0.096824161	0.246337801
LINC01753	0.166127017	3.642167771
LINC01751	0.01581789	0.92721048
LINC01756	0.284577558	0.17376376
LINC01755	0	0
EPB41L1	0	0
PPCDC	0	0
EPB41L3	0	0
EPB41L2	28.45906839	13.27952888
EPB41L5	1.870828368	1.997823669
ACSS3	5.912624246	2.181542676
ACSS2	35.56614739	13.41573404
ACSS1	3.276949977	4.116634036
KIDINS220	8.122056613	1.26129088
PUDP	97.54597322	18.5183282
PCOLCE2	1.658275766	4.787980333
DFNA5	9.584289411	15.0283779
MAGEH1	3.865646567	5.988020936
WNT2	88.09766807	1.880842906
WNT1	1.019211148	1.146290053
LRRN4	15.96427543	15.33102679
AGXT	1.322149227	1.772910776
LRRN2	0.034700716	0.296636797
LRRN1	0.017363248	0.007068028
WNT4	0.335442844	0.021335649
LAMA5-AS1	0.584170451	2.163620329
HOXA11-AS	0.051155886	9.049489476
RNF175	0.154876951	2.286450112
LOC105375903	0.036964701	0.135424425
PCNA	0.176263456	0.104365481
ZBTB7A	0.106473494	0.524438027
ZBTB7C	0.015690454	0.019161261
ZBTB7B	13.66349521	31.78087195
PCNP	7.122180941	9.847579264
PCNT	0.778216178	6.266912239
UTY	15.61320915	19.460471
LOC442497	31.33703938	41.91857452
CYP17A1-AS1	3.025259569	3.523119844
PCAT1	0	0
PCAT2	0	1.303349656
PCAT5	0.063464852	0.077503592
PCAT4	0.05384232	0.147943141
PCAT7	0	0
PCAT6	0	0.032158532
DNPH1	0.013867932	0
MIR409	0	0.114424332
ILF3	0.997860014	5.515730319
ILF2	8.912115371	7.001984473
LOC101928682	0	0
BOC	13.38531146	25.41439241
DENND2C	44.22136877	74.61538502
DENND2A	0.006427649	0.015698954
LOC100133920	3.493196407	11.58021076
DENND2D	0.561179803	1.334696951
GAGE1	5.901750484	3.1527085
PPT1	0.222799811	0.009382215
PPT2	3.282807239	7.77645601
INPP4B	0	0
INPP4A	28.86138073	62.58924908
SAFB	2.898843483	4.226094222
TRNP1	0.61098317	5.208161399
UBOX5-AS1	1.635214973	2.869869189
CRAT8	9.136674729	9.765061489
PPP1R26	0.749068331	8.463992298
KC6	0.138357762	0.178350026
PPP1R21	0	0
NGLY1	0	0
LMX1A	3.201173894	5.546574789
ZCCHC24	0.006015684	0.15060085
LMX1B	6.969354249	7.463207861
OR6V1	3.261713054	4.344292265
ABCE1	0.532384431	0.054558084
KCP	34.74870297	13.65915257
CNR1	0.061467288	9.216572895
GBX2	0	0
GBX1	7.562756474	13.11399118
CNR2	0.145260666	0.064506561
GNL3L	0.914200368	0.26638583
JARID2-AS1	0	0
LOC101927635	0.031862211	0.03891029
OTULIN	0.008896434	0.025350195
RABEP1	2.744211395	5.00481912
TGS1	0	0.083635744
ANKS1B	0	0.174828163
ANKS1A	1.933559803	2.188981604
BMT2	15.8788264	28.29743231
CDIPT-AS1	4.0753654	7.096446387
MIR1972-2	0.150830225	0.692020895
MIR1972-1	6.58216301	12.42926252
ADAM10	2.665799871	4.556763541
ADAM11	0.017311801	0.063423772
ADAM12	0	0
ADAM15	0	0.494211213
ADAM17	3.221549786	8.071938178
ADAM18	0.062061175	0.458725398
ADAM19	9.005472684	5.918480019
MEPE	18.71378388	21.93437572
HAGH	3.146769076	6.566456858
GLYAT	0	0.004974414
OPALIN	0.606722012	1.471984749
NEPRO	0	0.007681523
U2AF1L4	7.280517926	2.601701525
U2AF1L5	34.43347323	0.262738171
NDEL1	0.004016659	0
MIR7851	4.983207637	11.12211149
MIR7850	1.45238487	4.374585762
MIR7853	0.033369169	0.112064135
MIR7852	6.308633707	6.69716767
SHANK3	0	0.237839146
MIR7854	0	0
SHANK1	0	0
MIR7856	0	0
PLAC8L1	8.796624408	4.31587924
PCSK9	0	0
LINC02210-CRHR1	0.032944356	0.183557634
LOC105377671	0.83467614	1.359080837
PCSK2	0.285011365	0.754124123
PCSK1	0.012512043	0.194817048
PCSK6	0	0
PCSK7	0.036488574	0
PCSK4	0.105661178	0.026882074
PCSK5	0.049909659	0.060949923
MAEA	0.416271627	1.400859034
TC2N	1.112153032	1.783873579
PLTP	0.086285086	0.978452185
FKBP9P1	2.753128278	0.91653716
DPYSL4	3.662402303	6.086288558
MIR6812	2.304015738	31.74283972
MIR6813	46.06737807	45.50487188
MIR6810	0.558703597	0.687793946
MIR6811	0.088303269	0.155763673
MIR6816	0	0.891896799
MIR6817	0.27822538	0
MIR6814	0	0
MIR6815	0	0
SAMSN1	0	0
MIR6818	0	0
MIR6819	0	0.271816167
LOC105376108	0	0
FAM151B	0.717819724	1.224845336
FAM151A	0	0
TAAR3P	0.766260063	0.311920192
SNORD91B	0	0
SNORD91A	0.39590514	0.391681065
PAXIP1	0.194272086	0.056939048
LDLRAD4-AS1	0	0
RPL13AP6	0	0
RPL13AP5	0	0.099618491
RPL13AP3	1.202113682	2.896591244
USE1	0.071144389	0.34752752
CNRIP1	0.127292658	0.62180169
LOC642929	16.2425431	23.84609482
CYP1B1-AS1	0.070775048	0.23459799
CDC34	9.479119239	6.684150756
OR2T34	11.32976406	4.547634639
OR2T35	0	0
LOC400499	0.102517852	0.324485797
PROSER2-AS1	15.10775263	9.396114429
SPIN2A	0	0
SPIN2B	0	0
PGLS	0.035041797	0.171172863
LINC01195	0.109454578	0.226651844
LINC01197	0.17797179	0.118549107
LINC01191	1.117419388	1.287356679
LINC01192	8.203495362	15.21101222
LINC01193	0	0
UNKL	0.392189552	0.326552604
CCNA2	0.018460452	0.09017598
WDR1	0	0
CCNA1	0	0.009386843
DYNC1I1	2.135214579	4.344198342
VPS28	0.222739404	1.496057533
DYNC1I2	21.75155854	31.01663135
TAS2R50	0.032459628	0.25369509
SKA3	0.504801215	0.637292284
SKA2	12.49260746	27.25589922
GRID2IP	23.80068494	22.44755753
PCDH20	0.031161243	0.057081395
C6orf89	0.030670514	0.543097264
PPP1R13B	8.745539326	6.376627689
PPP1R13L	0.026382281	0.593734879
TMC5	0	0
LOC100128239	17.99413169	24.68342619
LOC105373343	2.021978534	6.0551408
LOC100128233	0.866966208	16.08155628
WNT10A	0.175473914	2.687548873
WNT10B	0.02704969	0.117975767
MIR147A	0	0
MIR147B	0.010804869	0
MIR1471	0.004566419	0.730525866
MIR1470	1.054907032	0.470431176
NEUROG3	0.216397518	0
OR4A47	0.077625871	6.121184012
