,drug_name1,drug_name2,id_1,id_2,similarity
36,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
37,DOCETAXEL,CYCLOPHOSPHAMIDE,DB01248,DB00531,0.137755102
38,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
39,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
40,DOXORUBICIN,CYCLOPHOSPHAMIDE,DB00997,DB00531,0.132653061
41,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
42,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
43,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
44,CARBOPLATIN,FLUOROURACIL,DB00958,DB00544,0.180555556
45,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
46,FLUOROURACIL,CETUXIMAB,DB00544,0,
47,CARBOPLATIN,CISPLATIN,DB00958,DB00515,0.047619048
48,CISPLATIN,CARBOPLATIN,DB00515,DB00958,0.047619048
49,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
50,FLUOROURACIL,CARBOPLATIN,DB00544,DB00958,0.180555556
51,CETUXIMAB,CARBOPLATIN,0,DB00958,0
52,CETUXIMAB,CISPLATIN,0,DB00515,0
53,FLUOROURACIL,CETUXIMAB,DB00544,0,
54,CETUXIMAB,CISPLATIN,0,DB00515,0
55,CISPLATIN,CETUXIMAB,DB00515,0,
56,CETUXIMAB,CARBOPLATIN,0,DB00958,0
57,CETUXIMAB,FLUOROURACIL,0,DB00544,0
58,CETUXIMAB,CISPLATIN,0,DB00515,0
59,FLUOROURACIL,CETUXIMAB,DB00544,0,
60,CARBOPLATIN,CETUXIMAB,DB00958,0,
61,FLUOROURACIL,CETUXIMAB,DB00544,0,
62,CETUXIMAB,CISPLATIN,0,DB00515,0
63,CETUXIMAB,CARBOPLATIN,0,DB00958,0
64,CISPLATIN,CETUXIMAB,DB00515,0,
65,CETUXIMAB,CARBOPLATIN,0,DB00958,0
66,CETUXIMAB,FLUOROURACIL,0,DB00544,0
67,FLUOROURACIL,CARBOPLATIN,DB00544,DB00958,0.180555556
68,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
69,CISPLATIN,CARBOPLATIN,DB00515,DB00958,0.047619048
70,FLUOROURACIL,CARBOPLATIN,DB00544,DB00958,0.180555556
71,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
72,CISPLATIN,CETUXIMAB,DB00515,0,
73,FLUOROURACIL,CETUXIMAB,DB00544,0,
74,FLUOROURACIL,CARBOPLATIN,DB00544,DB00958,0.180555556
75,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
76,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
77,FLUOROURACIL,CETUXIMAB,DB00544,0,
78,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
79,FLUOROURACIL,CETUXIMAB,DB00544,0,
80,FLUOROURACIL,CETUXIMAB,DB00544,0,
81,CETUXIMAB,CARBOPLATIN,0,DB00958,0
82,CETUXIMAB,CISPLATIN,0,DB00515,0
83,FLUOROURACIL,CARBOPLATIN,DB00544,DB00958,0.180555556
84,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
85,ASPIRIN,PREDNISONE,0,DB00635,0
86,ASPIRIN,MELPHALAN,0,DB01042,0
87,ASPIRIN,PREDNISONE,0,DB00635,0
88,CAPECITABINE,SORAFENIB,DB01101,DB00398,0.242553191
89,CAPECITABINE,SORAFENIB,DB01101,DB00398,0.242553191
90,CAPECITABINE,SORAFENIB,DB01101,DB00398,0.242553191
91,DOCETAXEL,CARBOPLATIN,DB01248,DB00958,0.181318681
92,CARBOPLATIN,DOCETAXEL,DB00958,DB01248,0.181318681
93,DOCETAXEL,CARBOPLATIN,DB01248,DB00958,0.181318681
94,DOCETAXEL,CARBOPLATIN,DB01248,DB00958,0.181318681
95,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
96,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
97,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
98,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
99,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
100,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
101,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
102,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
103,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
104,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
105,DOXORUBICIN,DOCETAXEL,DB00997,DB01248,0.714975845
106,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
107,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
108,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
109,DOCETAXEL,DOXORUBICIN,DB01248,DB00997,0.714975845
110,CYCLOPHOSPHAMIDE,DEXAMETHASONE,DB00531,DB01234,0.120967742
111,GEMCITABINE,PACLITAXEL,DB00441,DB01229,0.272727273
112,GEMCITABINE,DOXORUBICIN,DB00441,DB00997,0.230046948
113,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
114,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
115,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
116,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
117,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
118,DOXORUBICIN,PACLITAXEL,DB00997,DB01229,0.71291866
119,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
120,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
121,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
122,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
123,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
124,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
125,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
126,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
127,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
128,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
129,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
130,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
131,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
132,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
133,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
134,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
135,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
136,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
137,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
138,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
139,CYCLOPHOSPHAMIDE,GEMCITABINE,DB00531,DB00441,0.262135922
140,DOXORUBICIN,CYCLOPHOSPHAMIDE,DB00997,DB00531,0.132653061
141,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
142,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
143,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
144,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
145,PACLITAXEL,DOXORUBICIN,DB01229,DB00997,0.71291866
146,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
147,DOXORUBICIN,CYCLOPHOSPHAMIDE,DB00997,DB00531,0.132653061
148,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
149,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
150,CYCLOPHOSPHAMIDE,DOXORUBICIN,DB00531,DB00997,0.132653061
151,CYCLOPHOSPHAMIDE,MELPHALAN,DB00531,DB01042,0.246268657
152,CYCLOPHOSPHAMIDE,FILGRASTIM,DB00531,0,
153,CYCLOPHOSPHAMIDE,MELPHALAN,DB00531,DB01042,0.246268657
154,TRETINOIN,IDARUBICIN,DB00755,DB01177,0.293785311
155,TRETINOIN,METHOTREXATE,DB00755,DB00563,0.230769231
156,TRETINOIN,METHOTREXATE,DB00755,DB00563,0.230769231
157,PERTUZUMAB,TRASTUZUMAB,0,0,
158,TRASTUZUMAB,PERTUZUMAB,0,0,
159,LAPATINIB,PACLITAXEL,DB01259,DB01229,0.41503268
160,TRASTUZUMAB,PACLITAXEL,0,DB01229,0
161,TRASTUZUMAB,LAPATINIB,0,DB01259,0
162,LAPATINIB,TRASTUZUMAB,DB01259,0,
163,PACLITAXEL,LAPATINIB,DB01229,DB01259,0.41503268
164,PACLITAXEL,TRASTUZUMAB,DB01229,0,
165,PACLITAXEL,LAPATINIB,DB01229,DB01259,0.41503268
166,PACLITAXEL,TRASTUZUMAB,DB01229,0,
167,PACLITAXEL,TRASTUZUMAB,DB01229,0,
168,PACLITAXEL,TRASTUZUMAB,DB01229,0,
169,PACLITAXEL,TRASTUZUMAB,DB01229,0,
170,TRASTUZUMAB,PACLITAXEL,0,DB01229,0
171,PACLITAXEL,TRASTUZUMAB,DB01229,0,
172,PACLITAXEL,TRASTUZUMAB,DB01229,0,
173,PACLITAXEL,TRASTUZUMAB,DB01229,0,
174,PACLITAXEL,TRASTUZUMAB,DB01229,0,
175,PACLITAXEL,TRASTUZUMAB,DB01229,0,
176,LAPATINIB,PACLITAXEL,DB01259,DB01229,0.41503268
177,TRASTUZUMAB,PACLITAXEL,0,DB01229,0
178,TRASTUZUMAB,LAPATINIB,0,DB01259,0
179,LAPATINIB,TRASTUZUMAB,DB01259,0,
180,PACLITAXEL,LAPATINIB,DB01229,DB01259,0.41503268
181,PACLITAXEL,TRASTUZUMAB,DB01229,0,
182,PACLITAXEL,LAPATINIB,DB01229,DB01259,0.41503268
183,PACLITAXEL,TRASTUZUMAB,DB01229,0,
184,PACLITAXEL,TRASTUZUMAB,DB01229,0,
185,PACLITAXEL,TRASTUZUMAB,DB01229,0,
186,PACLITAXEL,TRASTUZUMAB,DB01229,0,
187,TRASTUZUMAB,PACLITAXEL,0,DB01229,0
188,PACLITAXEL,TRASTUZUMAB,DB01229,0,
189,PACLITAXEL,TRASTUZUMAB,DB01229,0,
190,PACLITAXEL,TRASTUZUMAB,DB01229,0,
191,PACLITAXEL,TRASTUZUMAB,DB01229,0,
192,PACLITAXEL,TRASTUZUMAB,DB01229,0,
193,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
194,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
195,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
196,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
197,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
198,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
199,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
200,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
201,RITUXIMAB,CHLORAMBUCIL,0,DB00291,0
202,CYCLOPHOSPHAMIDE,FLUDARABINE,DB00531,DB01073,0.193333333
203,FLUOROURACIL,BEVACIZUMAB,DB00544,0,
204,FLUOROURACIL,PACLITAXEL,DB00544,DB01229,0.174358974
205,CYCLOPHOSPHAMIDE,FLUOROURACIL,DB00531,DB00544,0.309859155
206,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
207,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
208,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
209,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
210,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
211,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
212,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
213,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
214,CYCLOPHOSPHAMIDE,PACLITAXEL,DB00531,DB01229,0.141414141
215,CYCLOPHOSPHAMIDE,FLUOROURACIL,DB00531,DB00544,0.309859155
216,CYCLOPHOSPHAMIDE,FLUOROURACIL,DB00531,DB00544,0.309859155
217,CYCLOPHOSPHAMIDE,FLUOROURACIL,DB00531,DB00544,0.309859155
218,FLUOROURACIL,CYCLOPHOSPHAMIDE,DB00544,DB00531,0.309859155
219,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
220,PACLITAXEL,CYCLOPHOSPHAMIDE,DB01229,DB00531,0.141414141
221,CYCLOPHOSPHAMIDE,FLUOROURACIL,DB00531,DB00544,0.309859155
222,FLUOROURACIL,PACLITAXEL,DB00544,DB01229,0.174358974
223,SIMVASTATIN,GEFITINIB,DB00641,DB00317,0.21031746
224,GEFITINIB,SIMVASTATIN,DB00317,DB00641,0.21031746
225,TRASTUZUMAB,CARBOPLATIN,0,DB00958,0
226,CARBOPLATIN,DOXORUBICIN,DB00958,DB00997,0.156756757
227,DOXORUBICIN,TRASTUZUMAB,DB00997,0,
228,TRASTUZUMAB,CARBOPLATIN,0,DB00958,0
229,TRASTUZUMAB,CARBOPLATIN,0,DB00958,0
230,TRASTUZUMAB,DOXORUBICIN,0,DB00997,0
231,TRASTUZUMAB,DOXORUBICIN,0,DB00997,0
232,TRASTUZUMAB,DOXORUBICIN,0,DB00997,0
233,TRASTUZUMAB,DOXORUBICIN,0,DB00997,0
234,DOXORUBICIN,CARBOPLATIN,DB00997,DB00958,0.156756757
235,DOXORUBICIN,CARBOPLATIN,DB00997,DB00958,0.156756757
236,DOXORUBICIN,CARBOPLATIN,DB00997,DB00958,0.156756757
237,TRASTUZUMAB,CARBOPLATIN,0,DB00958,0
238,GEMCITABINE,DOCETAXEL,DB00441,DB01248,0.282926829
239,DOXORUBICIN,LENALIDOMIDE,DB00997,DB00480,0.390909091
240,DEXAMETHASONE,DOXORUBICIN,DB01234,DB00997,0.433862434
241,TEGAFUR,SORAFENIB,DB09256,DB00398,0.232876712
242,TEGAFUR,SORAFENIB,DB09256,DB00398,0.232876712
243,TEGAFUR,SORAFENIB,DB09256,DB00398,0.232876712
244,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
245,DOCETAXEL,TRASTUZUMAB,DB01248,0,
246,DOCETAXEL,TRASTUZUMAB,DB01248,0,
247,DOCETAXEL,TRASTUZUMAB,DB01248,0,
248,DOCETAXEL,TRASTUZUMAB,DB01248,0,
249,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
250,DOCETAXEL,TRASTUZUMAB,DB01248,0,
251,DOCETAXEL,TRASTUZUMAB,DB01248,0,
252,DOCETAXEL,TRASTUZUMAB,DB01248,0,
253,DOCETAXEL,TRASTUZUMAB,DB01248,0,
254,DOCETAXEL,TRASTUZUMAB,DB01248,0,
255,DOCETAXEL,TRASTUZUMAB,DB01248,0,
256,PERTUZUMAB,DOCETAXEL,0,DB01248,0
257,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
258,PERTUZUMAB,TRASTUZUMAB,0,0,
259,TRASTUZUMAB,PERTUZUMAB,0,0,
260,DOCETAXEL,TRASTUZUMAB,DB01248,0,
261,DOCETAXEL,PERTUZUMAB,DB01248,0,
262,DOCETAXEL,PERTUZUMAB,DB01248,0,
263,DOCETAXEL,TRASTUZUMAB,DB01248,0,
264,DOCETAXEL,TRASTUZUMAB,DB01248,0,
265,DOCETAXEL,TRASTUZUMAB,DB01248,0,
266,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
267,DOCETAXEL,TRASTUZUMAB,DB01248,0,
268,DOCETAXEL,TRASTUZUMAB,DB01248,0,
269,DOCETAXEL,TRASTUZUMAB,DB01248,0,
270,DOCETAXEL,TRASTUZUMAB,DB01248,0,
271,DOCETAXEL,TRASTUZUMAB,DB01248,0,
272,DOCETAXEL,TRASTUZUMAB,DB01248,0,
273,PERTUZUMAB,DOCETAXEL,0,DB01248,0
274,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
275,PERTUZUMAB,TRASTUZUMAB,0,0,
276,TRASTUZUMAB,PERTUZUMAB,0,0,
277,DOCETAXEL,TRASTUZUMAB,DB01248,0,
278,DOCETAXEL,PERTUZUMAB,DB01248,0,
279,DOCETAXEL,PERTUZUMAB,DB01248,0,
280,DOCETAXEL,TRASTUZUMAB,DB01248,0,
281,DOCETAXEL,TRASTUZUMAB,DB01248,0,
282,DOCETAXEL,TRASTUZUMAB,DB01248,0,
283,TRASTUZUMAB,DOCETAXEL,0,DB01248,0
284,DOCETAXEL,TRASTUZUMAB,DB01248,0,
285,DOCETAXEL,TRASTUZUMAB,DB01248,0,
286,DOCETAXEL,TRASTUZUMAB,DB01248,0,
287,DOCETAXEL,TRASTUZUMAB,DB01248,0,
288,DOCETAXEL,TRASTUZUMAB,DB01248,0,
289,DOCETAXEL,TRASTUZUMAB,DB01248,0,
290,GEMCITABINE,PACLITAXEL,DB00441,DB01229,0.272727273
291,GEMCITABINE,PACLITAXEL,DB00441,DB01229,0.272727273
292,BORTEZOMIB,DOXORUBICIN,DB00188,DB00997,0.358024691
293,BORTEZOMIB,DOXORUBICIN,DB00188,DB00997,0.358024691
294,CETUXIMAB,CISPLATIN,0,DB00515,0
295,CETUXIMAB,CISPLATIN,0,DB00515,0
296,CISPLATIN,CETUXIMAB,DB00515,0,
297,CETUXIMAB,CISPLATIN,0,DB00515,0
298,CETUXIMAB,CISPLATIN,0,DB00515,0
299,CISPLATIN,CETUXIMAB,DB00515,0,
300,CISPLATIN,CETUXIMAB,DB00515,0,
301,CETUXIMAB,CISPLATIN,0,DB00515,0
302,PANITUMUMAB,OXALIPLATIN,0,DB00526,0
303,GEMCITABINE,PANITUMUMAB,DB00441,0,
304,OXALIPLATIN,PANITUMUMAB,DB00526,0,
305,GEMCITABINE,OXALIPLATIN,DB00441,DB00526,0.303921569
306,CAPECITABINE,GEMCITABINE,DB01101,DB00441,0.79787234
307,OXALIPLATIN,GEMCITABINE,DB00526,DB00441,0.303921569
308,GEMCITABINE,PANITUMUMAB,DB00441,0,
309,GEMCITABINE,OXALIPLATIN,DB00441,DB00526,0.303921569
310,GEMCITABINE,PANITUMUMAB,DB00441,0,
311,OXALIPLATIN,PANITUMUMAB,DB00526,0,
312,PANITUMUMAB,OXALIPLATIN,0,DB00526,0
313,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
314,ERLOTINIB,DOCETAXEL,DB00530,DB01248,0.389090909
315,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
316,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
317,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
318,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
319,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
320,ERLOTINIB,DOCETAXEL,DB00530,DB01248,0.389090909
321,ERLOTINIB,DOCETAXEL,DB00530,DB01248,0.389090909
322,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
323,DOCETAXEL,ERLOTINIB,DB01248,DB00530,0.389090909
324,THALIDOMIDE,BORTEZOMIB,DB01041,DB00188,0.597633136
325,PREDNISONE,BORTEZOMIB,DB00635,DB00188,0.275132275
326,BORTEZOMIB,PREDNISONE,DB00188,DB00635,0.275132275
327,PREDNISONE,BORTEZOMIB,DB00635,DB00188,0.275132275
328,BORTEZOMIB,PREDNISONE,DB00188,DB00635,0.275132275
329,PREDNISONE,THALIDOMIDE,DB00635,DB01041,0.339869281
330,THALIDOMIDE,PREDNISONE,DB01041,DB00635,0.339869281
331,LENALIDOMIDE,BORTEZOMIB,DB00480,DB00188,0.611428571
332,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
333,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
334,LENALIDOMIDE,BORTEZOMIB,DB00480,DB00188,0.611428571
335,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
336,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
337,LENALIDOMIDE,BORTEZOMIB,DB00480,DB00188,0.611428571
338,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
339,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
340,THALIDOMIDE,MELPHALAN,DB01041,DB01042,0.582781457
341,THALIDOMIDE,PREDNISOLONE,DB01041,DB00860,0.32278481
342,GEMCITABINE,CISPLATIN,DB00441,DB00515,0.045454545
343,CISPLATIN,GEMCITABINE,DB00515,DB00441,0.045454545
344,PREDNISONE,DOCETAXEL,DB00635,DB01248,0.430107527
345,DOCETAXEL,PREDNISONE,DB01248,DB00635,0.430107527
346,TRASTUZUMAB,CISPLATIN,0,DB00515,0
347,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
348,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
349,FLUOROURACIL,CAPECITABINE,DB00544,DB01101,0.419354839
350,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
351,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
352,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
353,TRASTUZUMAB,CISPLATIN,0,DB00515,0
354,CISPLATIN,TRASTUZUMAB,DB00515,0,
355,TRASTUZUMAB,FLUOROURACIL,0,DB00544,0
356,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
357,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
358,CISPLATIN,TRASTUZUMAB,DB00515,0,
359,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
360,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
361,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
362,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
363,CISPLATIN,FLUOROURACIL,DB00515,DB00544,0.057692308
364,FLUOROURACIL,TRASTUZUMAB,DB00544,0,
365,TRASTUZUMAB,CISPLATIN,0,DB00515,0
366,FLUOROURACIL,CISPLATIN,DB00544,DB00515,0.057692308
367,CARBOPLATIN,IRINOTECAN,DB00958,DB00762,0.136150235
368,OXALIPLATIN,IRINOTECAN,DB00526,DB00762,0.187793427
369,IRINOTECAN,CARBOPLATIN,DB00762,DB00958,0.136150235
370,IRINOTECAN,OXALIPLATIN,DB00762,DB00526,0.187793427
371,CARBOPLATIN,OXALIPLATIN,DB00958,DB00526,0.307692308
372,OXALIPLATIN,CARBOPLATIN,DB00526,DB00958,0.307692308
373,IRINOTECAN,CARBOPLATIN,DB00762,DB00958,0.136150235
374,IRINOTECAN,ETOPOSIDE,DB00762,DB00773,0.483606557
375,OXALIPLATIN,CARBOPLATIN,DB00526,DB00958,0.307692308
376,EVEROLIMUS,LETROZOLE,DB01590,DB01006,0.255208333
377,BORTEZOMIB,METHOTREXATE,DB00188,DB00563,0.692307692
378,BORTEZOMIB,METHOTREXATE,DB00188,DB00563,0.692307692
379,THALIDOMIDE,BORTEZOMIB,DB01041,DB00188,0.597633136
380,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
381,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
382,THALIDOMIDE,BORTEZOMIB,DB01041,DB00188,0.597633136
383,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
384,DEXAMETHASONE,BORTEZOMIB,DB01234,DB00188,0.266666667
385,CYTARABINE,MIDOSTAURIN,DB00987,DB06595,0.295154185
386,DAUNORUBICIN,MIDOSTAURIN,DB00694,DB06595,0.42804428
387,MIDOSTAURIN,DAUNORUBICIN,DB06595,DB00694,0.42804428
388,ERLOTINIB,BEVACIZUMAB,DB00530,0,
389,ERLOTINIB,BEVACIZUMAB,DB00530,0,
