	TCGA-BH-A0B5	TCGA-BH-A0C3
MIR4703	0	0
SBF1P1	0	0
LOC101928035	0	0.011075686
EPN2-AS1	0.014208603	0.197575349
NR1D1	12.79707129	8.326270913
NR1D2	19.76694945	10.83668539
PLPBP	12.30631616	17.87250968
OGFR	11.53586238	9.146403838
CHMP1B-AS1	0	0
PTCH2	1.034394002	1.103503155
PTCH1	0.505484036	0.7947691
AOAH-IT1	0	0
TIMM44	5.500019871	5.218891403
RAD9B	0.548001394	0.141798754
RAD9A	4.988518048	2.462622623
ERGIC2	9.742696917	9.066671493
ERGIC3	40.25127921	37.90826383
ERGIC1	34.17164422	27.64954449
MIR3165	3.156204275	0.783715551
MIR3164	0.611141103	2.596647909
MIR3167	0	0
MIR3166	0	0
MIR3161	0	0
MIR3163	0	0
MIR3162	0.206198014	0
B3GAT3	11.47643117	9.941696443
B3GAT2	0.097869461	0.089533384
B3GAT1	0.048837797	0.042872842
MIR3169	0	0
MIR3168	0	0.238937668
CALM2	107.5448609	60.68159457
TTC30A	5.818131491	4.289121089
TTC30B	6.823065094	4.219031313
CALM1	34.25316992	36.60729743
GSDMA	0.295704597	1.809926048
GSDMB	1.855467857	2.60464313
GSDMC	0.074917206	0.260437172
GSDMD	17.69151557	13.00192677
UPK1A	0.198046702	0.071716284
UPK1B	0	0
DLGAP3	0.255090327	0.044338949
DLGAP1	0.240229374	0.040461112
DLGAP4	14.99406083	9.447566572
DLGAP5	7.400523776	4.044673247
MIR7973-1	0	0
CYP27B1	0.732362599	1.976375698
OIP5	3.173714424	1.426666658
FAM169A	0.6802731	0.188503011
INO80B-WBP1	0.008288352	0.009604357
MIR506	0	0
PTPN18	18.17035188	10.70245431
MIR505	0	0
PTPN13	13.09248821	6.412668312
PTPN12	18.52681911	17.73144071
PTPN11	28.21906481	32.67721929
PTPN14	4.26221718	4.369644579
LYAR	4.753846764	4.798948176
LOC145694	0.836080603	0.415213537
MIR548AG1	0	0
C2orf81	3.917968817	2.041062202
C2orf80	0	0
C2orf83	0	0
SNORA81	0	0
SNORA84	0	0
C2orf88	0.315778317	0.692628384
CDK1	25.18385366	7.227089472
MZB1	4.411167907	1.689487989
CDK2	18.96640473	10.45557855
HLA-DQB1	8.078303371	11.9259325
MSMB	12.06258385	4638.696062
HLA-DQB2	11.51394258	11.03307642
LOC100129027	0	0
ATP2B1-AS1	0.377083484	0.19959716
CDK7	14.57365628	7.88089325
FOXS1	2.397149624	2.27271568
LOC643733	0.45538786	0.65051848
CAMKK2	16.08612264	11.12082303
CAMKK1	1.414333957	0.794377629
MYDGF	34.24976055	46.49516274
CHMP3	19.39398109	12.79825061
RPL36AL	139.118981	153.959134
CHMP7	12.40585219	14.60500138
CHMP6	8.757476957	8.34409144
CHMP5	24.66904731	27.24969133
OR52N4	0.065219816	0.056681453
OR52N5	0	0
OR52N2	0.016336461	0.018930327
OR52N1	0.017557879	0
LY6G6C	0.199281127	0.035526544
LY6G6D	0.027537846	0
HOXA11	0.175898436	0.433132782
HOXA10	0.392260156	1.622610427
GALNTL5	0	0
GALNTL6	0.043907995	0.008479935
LINC02018	0.063564801	0.09470247
LINC02010	0	0
LINC02011	0.004414683	0
LINC02012	0.186235656	0.249880321
LINC02015	0.061893713	0.202122979
LINC02016	0.018239738	0
TDH	0.098199899	0.134481285
KRTAP11-1	0	0
TDG	7.993737263	5.095030222
SCAMP1-AS1	3.368437877	2.492845223
HN1	19.62227175	41.84866576
GOLGA8IP	0	0.015083055
LOXHD1	0.088102788	0.156395564
LRRC26	0.951000934	0.38894072
LRRC25	3.304632693	2.401447236
LRRC24	0	0
KIAA1522	57.02030164	29.1971816
MPDU1	14.05674148	13.10367629
LRRC20	5.284698685	3.345654662
LRRC29	0.71680806	0.642160943
LRRC28	1.080567373	1.75679313
GCNT4	1.433881836	1.622745559
GCNT7	0.311295065	0.161375537
GCNT1	6.681670707	2.543467999
GCNT3	0.054837526	0.07262229
GCNT2	2.034143868	1.484834478
LPCAT4	3.167431805	3.266161912
LPCAT2	2.547941106	3.176370998
LPCAT3	8.956892631	7.099053031
LPCAT1	10.92760571	13.96604283
TAGLN	92.82048104	59.47894826
CCDC178	0.13979995	0.36777713
CCDC179	0.018438645	0
ALPP	0.005527374	0
MIR513B	0	0
MIR513C	0	0
CCDC170	2.536703605	1.829489152
CCDC171	0.667665467	0.258754474
CCDC172	0	0
CCDC173	4.075822828	0.184011925
CCDC174	10.1515991	6.13241991
CCDC175	0.06773716	0.00603787
CCDC177	0.061395197	0.075886279
PDK1	1.428049059	1.391499256
PDK3	5.684179181	5.365325385
PDK2	4.081298631	10.58466405
EBP	14.69732199	14.143642
PDK4	32.7912792	90.16891076
LNPEP	9.694602391	7.298883691
ALPI	0	0
SEC61A1	74.31776809	101.8563249
SEC61A2	2.57336807	2.686767433
ALPL	1.658772853	4.352527335
PECR	5.765379431	11.18801977
MIR193A	0	0.222646463
MIR193B	0	0
LINC01091	0.058686515	0.052892488
LINC01090	0	0
LINC01095	0	0.052085659
LINC01097	0	0
LINC01099	0.010607426	0.012291649
LINC01098	0	0
CTAGE11P	0.007185821	0.041633848
D21S2088E	0	0
DDIT3	9.616059064	10.77144596
DDIT4	44.4313638	51.29566797
DOCK9-AS1	0	0.149945577
RIIAD1	0.859994373	1.369162506
OR5R1	0	0
GOLGA8R	0.015256699	0.035358247
GOLGA8M	0.030714327	0.195750932
GOLGA8O	0.054643426	0.009045655
GOLGA8N	0.053380386	0.113402671
GOLGA8H	0.097941342	0.154762155
GOLGA8K	0.010466256	0.048512259
GOLGA8J	0	0
GOLGA8G	0.002589713	0
GOLGA8F	0.002985739	0
GOLGA8A	2.059047551	1.216210429
GOLGA8B	1.990630793	1.581225313
CT45A9	0	0
CT45A8	0	0
CT45A1	0	0
CT45A3	0	0
CT45A2	0	0
CT45A5	0	0
CT45A7	0	0
CT45A6	0	0
FTCDNL1	1.117641971	1.331274569
VMO1	2.526760227	0.512391861
OGFR-AS1	0.253117323	0.293306718
LRRC53	0	0
ATP5C1	55.23890558	55.8220438
MIR639	22.56098234	20.98337383
MIR638	0	0
MIR635	10.52451498	10.59615413
MIR634	0	0
MIR637	14.4308398	10.99719201
MIR636	50.22592697	36.21145104
MIR631	5.99306806	4.810641499
MIR630	4.090344966	4.164345196
MIR633	0.172533033	0.199927436
MIR632	12.37203714	8.791680858
LINC00320	0	0
NPC1	4.760149135	10.50048503
GATA3-AS1	5.834640114	1.097343364
LINC00324	1.770411002	1.110451909
LINC00327	0.093186855	0.095984758
C3orf58	4.582203153	3.081586114
RAB3GAP2	9.153724696	7.917466653
BHLHA15	0.254259206	0.196419938
RAB3GAP1	19.47163715	13.63137773
C3orf52	5.914091931	2.668355554
DAG1	46.26990517	31.62087913
ETHE1	16.70795258	18.23702178
RER1	15.4702497	19.42074952
KDM1A	20.61964969	16.92162279
KDM1B	7.359406828	8.289135096
CKS1B	22.41896291	15.13462665
OR1S1	0	0
OR1S2	0	0
MIR2355	0.194347554	0
RBM14-RBM4	0.505213141	0.197677574
FCER1G	30.02790671	31.44211507
BTG4	0.028164748	0
BTG3	2.7569372	8.182112699
BTG2	212.9996321	57.67003713
SOSTDC1	0.683713594	0.150531697
SRD5A3	4.751138142	7.482533086
SRD5A2	0.32739702	0.05058405
SRD5A1	2.84251246	1.630412779
ARMT1	9.968602414	21.90038755
EIF1AX-AS1	0	0.051833039
LOC101929721	0	0
GGA3	7.254754179	8.648607979
GGA2	17.26567046	16.48411551
LOC101929726	0.260743871	1.208576769
FHOD1	4.712541787	6.591356514
FHOD3	2.186501482	1.579238492
GJC2	0.293990749	0.829837019
GJC3	7.393566082	1.860973306
GJC1	0.950844285	3.739843549
PSMB9	12.77474561	11.1549357
PSMB8	41.87443786	46.66740904
PSMB7	46.060044	42.42019398
PSMB6	38.45222725	42.78502368
PSMB5	38.33811061	56.51410579
PSMB4	88.8270088	280.9282504
PSMB3	66.35658479	102.9997664
PSMB2	20.10973492	21.14640297
PSMB1	37.12916978	42.40783504
LMBR1L	5.379766553	4.199170472
SNORD115-14	0	0
TDGF1	0.003372878	0.019542079
MEIS1-AS2	0.016431717	0.019040708
SNORD115-16	0	0
SNORD115-17	0	0
PNMA5	0.004916614	0
LTN1	7.863587552	5.979848544
TRIML2	0.016631053	0.019271694
C9orf142	20.00045321	15.86637006
TRIML1	0	0.009272546
NACC2	3.364298442	5.938720861
VPS13D	5.665353009	6.708727234
NACC1	23.8922386	16.47484299
VPS13A	2.675714302	2.073182972
SH3KBP1	5.961762524	11.39302754
VPS13C	5.347924431	7.442244081
VPS13B	5.931437118	4.30513762
BEX5	0.62033984	1.78787414
BEX4	11.54802043	22.174783
BEX3	71.34336747	24.8720838
BEX2	3.738215705	1.882650026
BEX1	0.078278876	0.136061728
TMEM160	5.126026659	3.132498054
TMEM163	0.221168887	0.282202102
TMEM165	8.344917062	11.68898673
TMEM164	18.8089049	10.49735967
TMEM169	0.503332309	0.259222343
TMEM168	5.471120651	4.006800893
EVI2B	8.225628902	8.907577809
FOXN1	0.427703553	0.09696783
FOXN2	3.399539752	5.572945373
FOXN3	5.507858647	12.33146194
NICN1	7.75850829	3.819576472
COL14A1	20.40251495	41.80057962
TAP1	20.44648341	37.02448247
IFFO2	2.803466605	3.283423667
SNAP91	0.010168839	0.023566849
MACROD2	0.502298654	0.293616986
MACROD1	9.162338198	2.279115352
KRR1	5.521249654	3.780412253
MTCL1	0.664848174	0.618804225
ATP1A3	2.264555	1.055766751
C8orf49	0	0
C8orf48	1.532857489	1.301672887
C8orf46	0.1368263	0.165298132
C8orf44	2.126185515	1.149762335
TP53I3	5.521504791	7.364282154
MB	7.721012369	3.813744954
SLC18A3	0	0
SLC18A2	1.754357701	0.949958243
SLC18A1	0.017297429	0.010021938
RALBP1	20.41281658	20.21070028
B3GALT5-AS1	0.577944514	0.054511217
ZNF831	0.237333827	0.441694217
ZNF830	7.934675866	7.04855482
ZNF835	0.296977388	0.930845565
ZNF837	0.830751538	0.443576962
ZNF836	2.752966988	1.708145345
ZNF839	2.159656771	1.556215137
LRIF1	7.102300128	10.83804369
OXCT2P1	0.099136244	0.114876872
FAM91A1	8.829805343	9.983017573
CLYBL-AS2	0	0
TUNAR	0.058337794	0
SUGCT	1.053435849	1.213840151
TSPY8	0	0
MIR4773-1	0	0
TSPY4	0	0
TSPY3	0	0
TSPY2	0	0
TSPY1	0	0
MED4-AS1	0.218372067	0.180746206
RAB33A	0.497301094	0.545112168
SLC17A9	0.664569366	1.515334813
RAB33B	4.290952795	3.873375385
SLC17A4	0	0
SLC17A5	6.751096924	9.035344377
SLC17A6	0	0
SLC17A7	0.179964607	0.413819537
SLC17A1	0.016544263	0
SLC17A2	0	0
SLC17A3	0.009409147	0.038160885
C16orf58	16.28407637	19.24744941
C16orf59	3.892330705	4.064117082
TMEFF1	0	0.015007958
C16orf52	3.513112986	3.414833766
WASIR2	0.609594889	0.353192492
ITCH	11.7008248	10.88395846
CHMP4A	1.646678715	0.917528566
CHMP4B	129.7085729	91.13192978
CHMP4C	8.988730595	7.150459406
COBLL1	2.085723286	3.132033564
TMEM255B	0.589363558	1.252955423
TMEM255A	0.863380696	1.797792282
ST5	5.919719966	2.911398626
ZNF304	6.786773443	4.943920512
STH	0.417956425	0
ZNF302	9.610007623	5.949509944
ZNF300	0.6324777	1.194850845
STS	13.28856243	5.059718553
HOXB13	0	0
TP53TG1	17.86686647	21.39321286
PPP3CA	10.19748661	13.25235484
PPP3CB	13.9839818	13.28500939
PPP3CC	4.3509986	6.576019583
LIF	3.003352788	1.278548297
GPATCH8	9.156091584	9.192596616
GACAT2	0.041340433	0
NPY6R	0.039610997	0.032785958
GACAT1	0	0
RPL18	113.1956064	97.51756399
ADRA2A	3.219111646	13.87982214
ADRA2B	0.496563477	0.203426611
ADRA2C	0.473337526	0.818243634
TEX26	0.010185685	0.011802945
TEX22	0.786706841	0.214092193
TEX28	0	0
TEX29	0.218170802	0.147473356
SYT8	0.514004659	0.133284958
SYT9	11.55712172	1.052801724
LINC01251	0	0
LINC01250	0	0
LINC01257	0	0.022942493
LINC01256	0	0
MTCH1	48.52869611	50.7810572
LINC01254	0.005242864	0
SYT1	22.22493265	0.202144063
SYT2	0.121798467	0.063007746
SYT3	0.251505616	0.056242635
SYT4	0	0.022078982
SYT5	0.641924846	0.139242524
SYT6	0.092756787	0.038387321
SYT7	11.10552787	3.334049441
TIAL1	13.49900323	10.25862878
FUBP3	11.60579927	9.577638744
FUBP1	26.76490987	18.55203817
SCHIP1	0.097313595	0.099950643
MARCO	5.131841109	2.629348709
SAP30	9.722236383	4.868535997
NBL1	19.65064103	13.01668974
C3orf67-AS1	0	0
HSFX2	0.024773974	0
HSFX1	0	0.019962189
DRC7	0.55802763	0.04564447
DRC3	2.42831066	0.49169279
DRC1	0.022189288	0.064281131
C1orf53	0.913210846	1.827814501
C1orf52	3.979862847	3.930035583
C1orf50	2.578405766	3.248417188
C1orf56	4.127321733	6.917609377
C1orf54	4.768348163	5.931525912
1-Mar	1.157898291	5.663271802
2-Mar	3.619938343	9.951105231
APCDD1L-AS1	0.037649921	0.158646873
SMPD4	14.09057976	9.712759504
SMPD1	10.56918535	10.94351896
SMPD3	1.528961443	0.686270595
SMPD2	6.741466962	4.834987943
BRIP1	1.663105297	3.0256069
PDE11A	0.178579557	0.17871574
TTC28	2.699701928	3.642774337
TTC29	0.329842562	0.017640656
TTC24	0.047814032	0.076183025
TTC25	2.69179136	0.893435728
TTC26	5.651863241	3.064940792
TTC27	9.560984356	5.770213396
PATL2	0.177198042	0.357279674
TTC22	2.34285896	0.2944596
PATL1	20.66694069	11.59635212
ENO1	185.7812853	179.2764173
NPY2R	0.829566213	0
ENO3	1.481243519	0.894735834
ENO4	0.876406732	0.06811687
PCSK6-AS1	0.05292093	0
LOC101929331	1.131082762	0.974603386
CBX3P2	0.319469842	0.397616357
CFD	5.81134175	60.59044735
OBSCN	1.05411383	0.425971938
MCL1	133.84624	163.9509265
SORBS1	8.751837346	26.96534927
SORBS3	27.79307087	21.66882876
SORBS2	5.48077527	1.360844994
MCM8-AS1	0.051601945	0.019931728
IL18RAP	0.262231595	0.733247017
EOMES	0.679844329	0.852097734
BCDIN3D-AS1	0.273473998	0.251330977
MIR873	0	0
KCTD21-AS1	0.5698014	1.047824821
MIR877	0	0
MIR876	0	0
MIR875	0	0
MIR874	0	0
PDSS2	4.289506938	4.516445322
LOC100507277	0	0
LOC105374836	0.146508497	0.627705136
MIR3672	0	0
FBXO18	12.35952628	9.608615613
FKBP15	5.798638667	4.760044496
UBE2J1	13.22310857	18.29126329
FKBP10	27.72270296	38.57593569
FKBP11	3.230199842	4.106720079
FBXO10	0.859932023	0.708963959
FBXO11	9.520145422	7.378492463
FBXO16	1.553752914	1.218389609
FBXO17	1.312433733	2.093594969
FBXO15	0.264617458	0.094834892
AGAP1-IT1	0.763926379	0.914728241
SFTA3	0	0.006304018
SFTA2	0	0
MIRLET7F1	0.153711247	0
MIRLET7F2	0	0
SNORD43	0	0
SNORD90	0	0
CNGB3	0.01009447	0.042889906
SNORD46	1.138054426	0
PLA2G6	3.087417089	1.191576988
PLA2G7	3.622001451	7.049958496
PLA2G5	0.084314186	0.443414053
PLA2G3	1.454472016	0.094441066
GDPGP1	1.027135904	0.97320164
CCDC77	3.387261683	1.420403115
KRTAP1-3	0	0
KRTAP1-4	0	0
CCDC73	0.040794477	0.009951944
CCDC70	0.08821689	0.034074589
CCDC71	19.19621313	9.06487386
DEGS2	24.49914976	12.36729813
CCDC78	7.298226324	4.913577121
HIST3H2BB	0.772457536	1.276355698
SNORD4B	0	0
SNORD4A	0	0
GHITM	69.49854178	105.816065
LOC100128714	0	0
LOC100506585	0.391696614	0.588375038
CSHL1	0	0
MIR8071-2	0.520253452	1.50714529
FKBP1B	0.665440462	0.817830777
LINC02192	0	0
OSGIN1	0.361621258	2.214109685
LINC02229	0	0
LINC02227	0	0.015682675
LINC02226	0.010654214	0
LINC02225	0	0
MAP10	0.620353412	0.824729106
ELFN1-AS1	0	0.019810808
LGALS9C	0.024896437	0.049456177
LGALS9B	0.151984154	0.227482978
UNC50	14.38337486	12.51133346
NKAIN4	0.164772926	0.022030984
NKAIN3	0	0.026802857
NKAIN2	0.098782301	0.157391755
NKAIN1	19.31399574	34.44334079
EMP3	15.54908675	17.88864829
MAP1A	4.586174411	6.05169384
MAP1B	4.31206904	6.222254699
IGSF9B	0.725940307	0.909317104
UNC5B	18.22560167	8.844151516
UNC5C	0.720004485	0.575776048
VGF	0.043771324	0.079704799
UNC5A	0.256185412	0.341841035
UNC5D	0	0
MAP1S	7.900575114	6.037253226
CCP110	8.555814755	4.315767453
LOC101927839	0	0
ANKRD19P	0.372933633	0.352366171
LOC101927837	0.474255433	0.418140919
LOC105375014	0	0.024521763
RPL18A	69.32521065	52.67359549
CLEC18A	0.016522707	0.012764097
CEND1	0.25634077	0.083171753
CLEC18B	0.129111579	0.018701453
BORCS7	8.460362404	11.0408967
BORCS6	2.593690753	2.153315542
BORCS5	1.867375593	2.439275309
MFSD11	4.630705919	8.807430339
BORCS8	0.455322804	0.152197479
SDR42E1	0.797786021	0.606983121
LINC01759	0.995611936	0.815541563
LINC01752	0.193016406	0.044732623
LINC01753	0	0
LINC01751	0	0
LINC01756	0	0
LINC01755	0	0
EPB41L1	24.69433089	7.765854245
PPCDC	2.9335635	2.311142129
EPB41L3	2.302666262	5.573301966
EPB41L2	7.227293733	13.94657272
EPB41L5	10.58654954	4.39103638
ACSS3	1.001417866	2.700341498
ACSS2	5.833891308	18.08294469
ACSS1	13.20986429	3.056950543
KIDINS220	12.35390692	12.79672703
PUDP	8.240630751	7.167979193
PCOLCE2	0.719085949	11.50800708
DFNA5	1.280898265	1.336729626
MAGEH1	13.62373694	20.15574877
WNT2	3.179086193	2.516757093
WNT1	0.050210058	0.145455744
LRRN4	0.00628092	0.232902095
AGXT	0.072046761	0.039546086
LRRN2	7.910947799	1.917557852
LRRN1	25.47735083	2.688048764
WNT4	1.299771712	0.575624963
LAMA5-AS1	0.140400546	0.092967444
HOXA11-AS	0.127521844	0.208220621
RNF175	0.196428268	0.20530134
LOC105375903	0.20432915	0.039462012
PCNA	98.0470858	56.95390372
ZBTB7A	10.79469117	8.141743647
ZBTB7C	9.280959691	1.616515797
ZBTB7B	31.10518373	26.29991297
PCNP	36.41648377	34.65705373
PCNT	7.021413762	3.826158467
UTY	0	0
LOC442497	0.039394774	0.009129957
CYP17A1-AS1	0.034436328	0.079808101
PCAT1	0.073037742	0.042317254
PCAT2	0	0
PCAT5	0	0
PCAT4	0	0.017439153
PCAT7	0.232415631	0.201988544
PCAT6	2.260764298	6.053982485
DNPH1	7.493730722	11.86545344
MIR409	0	0
ILF3	40.74115072	25.49635308
ILF2	104.644272	104.982151
LOC101928682	0	0.008082875
BOC	3.108300331	4.366198446
DENND2C	0.246336114	0.814057701
DENND2A	0.574774963	3.002872812
LOC100133920	0.008337395	0.019322376
DENND2D	11.36209012	10.64375245
GAGE1	0	0
PPT1	84.04508823	140.9194523
PPT2	2.208422816	2.692356144
INPP4B	6.599385447	6.056587887
INPP4A	3.400367409	3.402420208
SAFB	15.68265433	11.33914768
TRNP1	0.966918422	0.822980652
UBOX5-AS1	0.116781115	0.135323356
CRAT8	0	0
PPP1R26	11.3992797	6.851569329
KC6	0.016320692	0.022694466
PPP1R21	8.371587774	6.120632086
NGLY1	5.302354948	3.760441539
LMX1A	0.630271207	0.149814203
ZCCHC24	16.5801819	23.54172281
LMX1B	20.97143449	8.300932291
OR6V1	0.016447702	0
ABCE1	9.745513884	12.18730846
KCP	0.051181248	0.144710766
CNR1	0.125009776	0.585598374
GBX2	0.007303774	0
GBX1	0.011525724	0.026711505
CNR2	0.070799623	0.145436365
GNL3L	6.452428869	6.720156519
JARID2-AS1	0.111482883	0.21530647
LOC101927635	0.129465828	0.060008848
OTULIN	4.069047561	3.027412927
RABEP1	22.09643307	25.4008558
TGS1	7.551675849	6.497202453
ANKS1B	2.484300841	0.389978787
ANKS1A	7.16049	7.791476351
BMT2	3.76737426	3.39490122
CDIPT-AS1	0.582394836	1.306192585
MIR1972-2	0	0.254453101
MIR1972-1	0.878349984	0.508906202
ADAM10	9.85128614	7.875691743
ADAM11	0.489169126	0.176623526
ADAM12	26.31408719	17.28188171
ADAM15	38.58283042	84.8380416
ADAM17	7.695080082	7.578819112
ADAM18	0.022102271	0
ADAM19	4.097569941	3.557950595
MEPE	0.02730438	0.007909927
HAGH	6.517099622	9.66363903
GLYAT	0.076016481	1.428254897
OPALIN	0.004358917	0
NEPRO	7.566266903	6.384131912
U2AF1L4	4.087382555	3.039453353
U2AF1L5	0.144850149	0.122389989
NDEL1	4.087308625	3.960448163
MIR7851	0.845411859	0.24491111
MIR7850	0	0
MIR7853	0	0
MIR7852	0	0
SHANK3	3.225152687	6.71493371
MIR7854	0	0
SHANK1	0.138537162	0.139819743
MIR7856	0.905798421	0.349873014
PLAC8L1	0.257747518	0.119468834
PCSK9	0.173121882	0.094404604
LINC02210-CRHR1	0	0
LOC105377671	0	0
PCSK2	0	0.03321767
PCSK1	0.140185121	0.136600129
PCSK6	5.537688309	2.394273314
PCSK7	1.485147139	1.503969223
PCSK4	2.563880903	0.79053586
PCSK5	0.936906649	2.84524831
MAEA	5.188943643	4.848032435
TC2N	30.64222585	12.39894864
PLTP	37.32322014	34.02731922
FKBP9P1	0.523187212	0.725242846
DPYSL4	0.601584006	0.15422614
MIR6812	1.056764824	0.306138887
MIR6813	0.301932807	0.349873014
MIR6810	0.483092491	0
MIR6811	0	0
MIR6816	0	0
MIR6817	0	0
MIR6814	0	0
MIR6815	0	0
SAMSN1	4.065660062	4.346418682
MIR6818	0	0
MIR6819	0.554368432	0
LOC105376108	0	0
FAM151B	0.571040497	0.731030909
FAM151A	0.059031252	0.029316043
TAAR3P	0	0
SNORD91B	0.076163231	0.088256256
SNORD91A	0.088524802	0
PAXIP1	5.619713801	2.377235286
LDLRAD4-AS1	0.162133781	0.250502687
RPL13AP6	0.221022708	0.320145241
RPL13AP5	14.20070901	11.87738845
RPL13AP3	0.087778	0.178001585
USE1	7.734249178	5.956044755
CNRIP1	2.859341125	6.030280309
LOC642929	0	0
CYP1B1-AS1	0.081737148	0.160489622
CDC34	16.9604231	17.25464278
OR2T34	0	0
OR2T35	0	0
LOC400499	0.095773438	0.07017861
PROSER2-AS1	0.139438731	0.053859499
SPIN2A	0.111199898	0.094946501
SPIN2B	1.601592156	0.888175607
PGLS	15.37598387	9.283739708
LINC01195	0.037490548	0
LINC01197	0.091892593	0.375493006
LINC01191	0.020033456	0.06964297
LINC01192	0	0
LINC01193	0	0
UNKL	2.831576951	3.780533381
CCNA2	10.03133443	7.086491578
WDR1	48.43701217	39.55625761
CCNA1	0.126811779	0.081637037
DYNC1I1	0.166565384	0.291662968
VPS28	27.02895438	21.209601
DYNC1I2	27.80945848	17.28514276
TAS2R50	0	0
SKA3	8.049164094	2.834797883
SKA2	12.09572749	16.83569381
GRID2IP	0.278122915	0.279627585
PCDH20	0	0
C6orf89	17.3413092	20.04934435
PPP1R13B	5.448230563	3.594886136
PPP1R13L	10.84317993	3.632783232
TMC5	19.2753375	0.337121502
LOC100128239	0.318706852	0.106905643
LOC105373343	0	0
LOC100128233	0	0.027174603
WNT10A	0.203176355	0.292859709
WNT10B	0.237963019	0.253388444
